"Title ID","Title","Annotation","Publisher","Copyright","OriginalCopyright","Translator","Author","Illustrator","Grade Level Span","Language","Genre","Classification","Culture","Topic","Discipline","Standard","Award"
"16130","¡Germenes! ¡Germenes! ¡Germenes! (Germs! Germs! Germs!)","This humorous look at germs is told in simple verse with colorful illustrations. Written from the point of view of the germs, students are provided with information on how germs enter their bodies and what actions the students can take to prevent infection.","Scholastic","1996",,,"Bobbi Katz","Steve  Bjorkman","3 thru 5","Spanish","Nonfiction","Picture Book, Read Aloud",,"Life Science (Biology)","Science",,
"38512","¡La senorita Nelson ha desaparecido! (Miss Nelson Is Missing!)","When Miss Nelson's class misbehaves, she disappears. She is replaced by the dreaded substitute, Miss Viola Swamp, the meanest teacher in the world. This and other Miss Nelson books are great to be read aloud, especially by substitute teachers.","Houghton Mifflin","1998",,"Yanitzia  Canetti","Harry Allard","James  Marshall","K thru 2, 3 thru 5","Spanish","Fiction","Picture Book, Read Aloud",,"English-Language Arts/General","English-Language Arts/General ",,
"139","¡Por la gran cuchara de cuerno! (By the Great Horn Spoon!)","Jack and his very proper manservant, Praiseworthy, sail from Boston to California during the Gold Rush to strike it rich and save his aunt’s mansion from creditors. While Jack grows into manhood, Praiseworthy finds love and breaks free of the social restrictions of being a butler. Their adventure is based on historically accurate situations of ship travel, gold fever, and life in the gold fields. The book is also available in English.","Lectorum","1994","1963",,"Sid Fleischman","Sid Fleischman","3 thru 5","Spanish","Historical Fiction",,,"American History, Economics, Geography, Immigration/Migration","History/Social Science, World Language","Not Applicable, HSS 4.1, HSS 4.3, HSS 5.8, HSS 8.8",
"38516","¡Que monton de tamales! (Too Many Tamales)","The importance of honesty is shown as four Latino children spend an unforgettable Christmas Eve searching for Maria's mother's diamond wedding ring, lost in the tamale masa (dough). The illustrations feature expressive oil paintings in warm tones that match the festive holiday mood. California author. Translated by Alma Flor Ada and F. Isabel Campoy.","Putnam Publishing","1996",,"Alma Flor Ada","Gary Soto","Ed Martinez","K thru 2, 3 thru 5","Spanish","Fiction, Realistic Fiction","Easy Reader, Picture Book, Read Aloud","Latino/Latino American","English-Language Arts/General","History/Social Science, English-Language Arts/General ","HSS K.3, HSS 1.4",
"38517","¡Que sorpresa de cumpleanos! (Birthday Swap)","Each year Lori looks forward to celebrating her sister's birthday in August at her aunt's house in Mexico. However, this year's gathering brings an unexpected surprise. Striking colored-pencil drawings illustrate the spirit of Mexican birthday celebrations.","Lee and Low Books","1997",,,"Loretta Lopez","Loretta  Lopez","K thru 2, 3 thru 5","Spanish","Fiction","Picture Book","Latino/Latino American","English-Language Arts/General","English-Language Arts/General ",,
"16016","¿Hay algo mas pequeno que una musarana? (What's Smaller than a Pygmy Shrew?)","This book shows how microscopes are used to see the tiniest parts of the universe which helps readers understand that the size of any object may be viewed in relation to things both smaller and larger. The acrylic-and-ink artwork includes touches of humor and shows proportions from elephants to atoms.","Editorial Juventud","1997",,,"Robert E. Wells","Robert E.  Wells","K thru 2, 3 thru 5, 6 thru 8","Spanish","Nonfiction","Picture Book",,"Earth Science, Physical Science (Chemistry and Physics), Measurement & Geometry (Geometry)","Mathematics, Science","PS K.1, LS K.2, I & E K.4, I & E 2.4, LS 3.3, PS 5.1, Math 1.MD.1-4, Math 2.MD.1-10, Math 3.MD.1-8, Math 4.MD.1-7, Math 5.MD.1-5",
"38523","¿Quien quiere un rinoceronte barato? (Who Wants a Cheap Rhinoceros?)","What could you do with a cheap rhinoceros? Find out lots of ideas in this story about the advantages of having a rhino. Black-and-white drawings accompany the humorous and imaginative text.","Barcelona: Editorial Lumen","1998",,"Nestor  Busquets","Shel Silverstein","Shel  Silverstein","K thru 2, 3 thru 5","Spanish","Fiction","Picture Book",,"English-Language Arts/General","English-Language Arts/General ",,
"39836","13 Words","A dog attempts to cheer up his friend, a despondent bird, in a tale that introduces a series of random words—from “baby” to “haberdashery.” The writer crafts a plausible story using these random words as a focus. Bright, colorful artwork contains surprises lurking about. This book may be used as a model text for older students using a list of nouns and adjectives to incorporate into narrative writing.","Harper","2010",,,"Lemony Snicket","Maira Kalman","K thru 2, 3 thru 5","English","Fiction","Concept Book, Picture Book",,"English-Language Arts/General, Visual Arts","English-Language Arts/General , English-Language Arts/Vocabulary, English-Language Arts/Writing",,
"39838","14 Cows for America","An illustrated tale in which the Maasai people of Kenya present a gift of 14 cows to the United States as a gesture of comfort and friendship in the wake of the attacks of September 11, 2001. The paintings glow with oranges and reds, highlighting Kenya’s environment. Use as a mentor text with older children to write about 9/11, world peace, or multicultural relations.","Peachtree Publishers","2009",,,"Carmen Agra Deedy","Thomas Gonzalez","K thru 2, 3 thru 5","English","Narrative Nonfiction, Nonfiction","Picture Book","African","American History, Diversity, Global Historical Events and Figures, World Cultures: Perspectives, Practices, and Products","History/Social Science, English-Language Arts/General ",,
"142","1607: A New Look at Jamestown","Describes the new research and archaeological discoveries at Jamestown and demonstrates how existing knowledge and historians' views can change. Clearly written and well illustrated, the book shows how previous beliefs about the Jamestown settlement are erroneous. Provides an excellent account of the Native American tribes’ history, relationships before and after the arrival of the colonists, and the process of colonization, including the challenges. Color photographs show interpreters in period costume photographed at Jamestown.","National Geographic","2007",,,"Karen Lange","Ira Block","3 thru 5, 6 thru 8","English","Nonfiction","Photo Essay","Native American, Western European","American History, Diversity, Economics, Geography, Government and Politics","History/Social Science","HSS 5.3, HSS 5.4",
"1553","1621: A New Look at Thanksgiving","A well-researched book about Thanksgiving Day looks at the 1621 harvest feast from the perspectives of both the English colonists and the Wampanoag people. Photographs of Plimoth Plantation, a living history museum in Massachusetts, help the reader to visualize what life was like in 1621.","National Geographic","2001",,,"Catherine O'Neill Grace, Margaret M. Bruchac","Cotton Coulson, Sisse Brimberg","3 thru 5, 6 thru 8","English","Nonfiction","Photo Essay","Native American","American History, Diversity","History/Social Science","HSS 5.3, HSS 5.4",
