"Title ID","Title","Annotation","Publisher","Copyright","OriginalCopyright","Translator","Author","Illustrator","Grade Level Span","Language","Genre","Classification","Culture","Topic","Discipline","Standard","Award"
"39313","""Let's Get a Pup!"" Said Kate","When Kate and her parents visit the animal shelter, they select an adorable puppy, but they return to bring home an older dog they simply couldn't leave behind. Graham's humorous cartoon-style illustrations reveal hip, contemporary parents and a cozy domestic scene. This is an endearing story of family warmth and belonging.","Candlewick Press","2001",,,"Bob Graham","Bob  Graham","K thru 2","English","Realistic Fiction","Picture Book",,"English-Language Arts/General","English-Language Arts/Literary Elements",,
"16516","""Slowly, Slowly, Slowly,"" Said the Sloth","A day in the life of a sloth is also a message to ""slow down."" Many unusual animals interact with the placid sloth in this engaging story. The tropical rain forest provides an ideal background for the author's lush illustrations.","Philomel Books","2002",,,"Eric Carle","Eric  Carle","K thru 2","English","Fiction","Picture Book",,"Life Science (Biology)","Science","LS K.2",
"37332","'Twas the Night Before Thanksgiving","Schoolchildren on a Thanksgiving field trip to Mack Nugget's farm save the lives of eight turkeys in this rhyming verse based on THE NIGHT BEFORE CHRISTMAS. Vivid artwork adds another dimension for the observant reader, as do great works of art, clever use of famous personalities, and nursery rhymes.","Orchard Books","1991",,,"Dav Pilkey","Dav  Pilkey","K thru 2","English","Fiction","Picture Book",,"English-Language Arts/General","English-Language Arts/Vocabulary, English-Language Arts/Writing",,
"38510","¡Cuidado, pajarito! (Look Out, Bird!)","Things in the animal world are never quite the same once the snail slips and hits the bird, causing an unexpected chain of events. Chaos and confusion abound as the action surrounding the animals unfolds. The story is set to rhythmic, alliterative text and highlighted by vibrant pen-and-ink and watercolor illustrations.","Ediciones Norte-Sur","1997",,"Alis  Alejandro","Marilyn Janovitz","Marilyn  Janovitz","K thru 2","Spanish","Fiction","Picture Book",,"English-Language Arts/General","English-Language Arts/General ",,
"38511","¡Hola abuelos! (Hello Grandparents!)","This story highlights the special bond shared between two toddlers, Lucia and Nicolas, and their grandparents. Full-page watercolor illustrations capture the love and tenderness that is characteristic of Lucia's and Nicolas's time spent with their grandparents. The book is one in a series of books following the toddlers' adventures and explorations of life.","Buenos Aires: Editorial Planeta Argentina","1999",,,"Margarita Maine","Nora  Hilb","K thru 2","Spanish","Fiction","Easy Reader, Picture Book","Latino/Latino American","English-Language Arts/General","English-Language Arts/General ",,
"38512","¡La senorita Nelson ha desaparecido! (Miss Nelson Is Missing!)","When Miss Nelson's class misbehaves, she disappears. She is replaced by the dreaded substitute, Miss Viola Swamp, the meanest teacher in the world. This and other Miss Nelson books are great to be read aloud, especially by substitute teachers.","Houghton Mifflin","1998",,"Yanitzia  Canetti","Harry Allard","James  Marshall","K thru 2, 3 thru 5","Spanish","Fiction","Picture Book, Read Aloud",,"English-Language Arts/General","English-Language Arts/General ",,
"38513","¡Me gusto como soy! (I Like Me!)","She's a pig with confidence and a mind of her own. The main character in this tale designed to boost self-esteem proves that the first person you need to love is yourself. Bright, full-color drawings match the high-spirited tone of this uplifting story.","Viking Press","1997",,,"Nancy Carlson","Nancy  Carlson","K thru 2","Spanish","Fiction","Picture Book",,"English-Language Arts/General","English-Language Arts/General ",,
"38514","¡No, Tito, no! (No, No, Titus!)","When Tito moves to the farm with his new family, he does his best to behave as a farm dog should. Unfortunately, he doesn't know what to do and is always told, ""No."" Tito's canine instincts may finally pay off though when he faces an intruder (a fox) in the henhouse and finally learns what good farm dogs do. Vibrant collages in cloth and paper accompany this well-translated Spanish version.","North-South Books","1999",,"Diego  Lasconi","Claire Masurel","Claire  Masurel","K thru 2","Spanish","Fiction","Easy Reader, Picture Book",,"English-Language Arts/General","English-Language Arts/General ",,
"38515","¡Papa! (Father!)","""Father!"" they cry out in unison. A young boy about to go to sleep calls for his father when he's frightened by a green monster in his bed. The young green monster explains he's just been scared by a little boy in his! After being comforted by their parents, the youngsters devise a unique sleeping arrangement that suits them both and chases their nightmares away. Cartoon drawings are successfully paired with the basic text.","Barcelona: Editorial Corimbo","1999",,"Anna  Coll-Vinent","Philippe Corentin","Philippe  Corentin","K thru 2","Spanish","Fiction","Easy Reader, Picture Book",,"English-Language Arts/General","English-Language Arts/General ",,
"38516","¡Que monton de tamales! (Too Many Tamales)","The importance of honesty is shown as four Latino children spend an unforgettable Christmas Eve searching for Maria's mother's diamond wedding ring, lost in the tamale masa (dough). The illustrations feature expressive oil paintings in warm tones that match the festive holiday mood. California author. Translated by Alma Flor Ada and F. Isabel Campoy.","Putnam Publishing","1996",,"Alma Flor Ada","Gary Soto","Ed Martinez","K thru 2, 3 thru 5","Spanish","Fiction, Realistic Fiction","Easy Reader, Picture Book, Read Aloud","Latino/Latino American","English-Language Arts/General","History/Social Science, English-Language Arts/General ","HSS K.3, HSS 1.4",
