"Title ID","Title","Annotation","Publisher","Copyright","OriginalCopyright","Translator","Author","Illustrator","Grade Level Span","Language","Genre","Classification","Culture","Topic","Discipline","Standard","Award"
"41120","1,2, Buckle My Shoe","Striking quilt squares create a fabric frame for each double-page spread of this picture book, which uses a well-known nursery rhyme to focus on counting. The simplicity of the number concept will help younger children to associate values with numerals. Based on an actual quilt that the author designed for her granddaughter.","Harcourt, Inc.","2008",,,"Anna Grossnickle Hines","Anna Grossnickle Hines","Preschool/Pre thru K, K thru 2","English","Poetry","Counting Book, Picture Book, Read Aloud",,"English-Language Arts/General, Mathematics","English-Language Arts/General , Mathematics",,
"41223","1-2-3 Peas","A cast of energetic peas count by ones and tens to reach 100 in this active title. Bright, colorful pages are filled with numerals that feature short lines with a related rhyming word that serves as a prop for the activity on the page. This zany romp through the numbers is sparked with humor, a bouncy rhythm, and plenty of visual surprises. See another book starring the peas: L-M-N-O PEAS (2010).","Beach Lane Books","2012",,,"Keith Baker","Keith Baker","Preschool/Pre thru K, K thru 2","English","Fiction","Concept Book, Counting Book, Picture Book",,"Number Sense","English-Language Arts/General , Mathematics","Math K.CC.1-7, Math 1.NBT.1-6",
"41021","10 Hungry Rabbits: Counting & Color Concepts","An early-concept book that focuses on counting and colors—and healthy eating habits. Ten little rabbits announce they are hungry, and Mama Rabbit sends them out to the garden to find the ingredients for vegetable soup. The rabbits, each one wearing a different color, gather 10 colorful ingredients that match: one purple cabbage, two white onions, three yellow peppers, and so forth, for their mother’s soup. Lobel’s gouache-and-watercolor paintings, rendered in folk-art style, reveal each ingredient on a large scale. A series of panels underneath the main images show the little rabbits scouring the garden for the ingredients.","Alfred A. Knopf","2012",,,"Anita Lobel","Anita Lobel","Preschool/Pre thru K","English","Fiction","Concept Book, Counting Book, Picture Book",,"English-Language Arts/General","English-Language Arts/General , Literacy/Motivation",,
"40654","10 Turkeys in the Road","Ten silly turkeys rehearsing for the Turkey Circus block the road—and then they leave, one by one, as the frazzled farmer shoos them away. This book offers opportunities for a math countdown as the turkeys perform their antics and contortions: readers find the number of turkeys that leave and count the ones that are left on each page. Bright, colorful, cartoon-style artwork—done on double-page spreads—combines with short rhymes to round out this humorous title.","Marshall Cavendish Children","2011",,,"Brenda Reeves Sturgis","David Slonim","Preschool/Pre thru K, K thru 2","English","Fiction, Humor","Counting Book, Picture Book",,"English-Language Arts/General, Number Sense","English-Language Arts/General , Mathematics","Math K.CC.1-7, Math 1.OA.1-8",
"40159","999 Tadpoles","It is springtime, and 999 tadpoles have hatched in a small pool. Soon Mother and Father realize the move to a larger body of water is essential to accommodate the transforming frogs. There are perils involved in relocating, but because this family knows how to stick together, “ribbits” can be heard echoing from the spacious new home.","NorthSouth Books, Inc.","2011","2003","Ken Kimura","Ken Kimura","Yasunari Murakami","Preschool/Pre thru K, K thru 2","English","Fiction","Picture Book",,"English-Language Arts/General","English-Language Arts/General ",,
"2576","A-Tisket, A-Tasket","A boy in New York City drops his green and yellow basket and later sees a little girl carrying it around. There is a happy ending as a dog returns the basket, and the little girl peeks from behind a tree at the boy, who is overjoyed at the return of the basket. Based on the version of the children's rhyme as sung by Ella Fitzgerald.","Philomel Books","2003","1938",,"Ella Fitzgerald","Ora Eitan","Preschool/Pre thru K, K thru 2","English","Poetry","Picture Book, Read Aloud","Multicultural","Diversity, Music","Visual and Performing Arts","VAPA M PreK-12.2, VAPA M PreK-12.3",
"40869","About Hummingbirds: A Guide for Children","Introduces young readers to the natural world of hummingbirds. Simple, direct text and detailed illustrations teach children about hummingbirds: what they are, how they look, how they move, what they eat, and where they live. Introduces many varieties of hummingbirds, including the smallest (the Bee Hummingbird of Cuba) and the largest (the Giant Hummingbirds of the Andes Mountains in South America). This book is part of the publisher’s “About . . . (Animals)” series.","Peachtree Publishers","2011",,,"Cathryn P. Sill","John Sill","Preschool/Pre thru K, K thru 2","English","Narrative Nonfiction, Nonfiction","Picture Book",,"Life Science (Biology)","Science","LS K.2, PS 1.1, LS 1.2, LS 2.2",
"41316","Adventures of Beekle, The","An imaginary friend waits a long time to be imagined by a child and given a special name. ","Little Brown","2014",,,"Dan Santat","Dan Santat","Preschool/Pre thru K, K thru 2","English","Fiction","Picture Book",,"English-Language Arts/General","English-Language Arts/General ",,"Caldecott Winner"
"40700","All in a Day","Readers follow a young boy on his farm in a single day. As he feeds the chickens, sees plants begin to grow, experiences a rain shower, and feels sadness because of the shattering of a new chick egg, the book’s central message comes through: each day brings new experiences and possibilities. The rhythmic narrative complements bold, black, cut-paper illustrations set against yellow and blue backgrounds that evoke a gentle mood and extend the book’s hopeful message.","Abrams Books for Young Readers","2009",,,"Cynthia Rylant","Nikki McClure","Preschool/Pre thru K, K thru 2","English","Fiction","Picture Book",,"English-Language Arts/General","English-Language Arts/General , English-Language Arts/Writing",,
"433","America is...","Presents a poem about all that is strong, beautiful, and unique about America. The verse is accompanied by vibrant mixed-media paintings as well as some famous patriotic symbols. This book is a good read-aloud for younger students and complements the social studies curriculum.","Margaret K. McElderry Books","2002",,,"Louise Borden","Stacey Schuett","Preschool/Pre thru K, K thru 2","English","Nonfiction, Poetry","Picture Book, Read Aloud","Multicultural","American History, Diversity, Geography","History/Social Science","HSS K.2, HSS K.3, HSS K.4, HSS K.6, HSS 1.3, HSS 2.2, HSS 2.5",
